EMR,GOOG
113.41283416748047,172.1947021484375
111.73081970214844,166.5641632080078
110.24553680419922,163.51470947265625
106.8618392944336,155.5223388671875
107.84547424316406,155.69175720214844
108.19957733154297,158.33262634277344
109.71437072753906,158.31271362304688
100.2223129272461,152.1041717529297
93.02213287353516,147.23101806640625
95.38285064697266,148.72586059570312
92.60900115966797,146.0749969482422
102.72074890136719,160.50511169433594
98.0976791381836,154.83473205566406
98.8452377319336,158.850830078125
99.38623809814453,160.91371154785156
98.79605102539062,158.13330078125
97.05502319335938,154.96426391601562
97.94029998779297,152.83164978027344
94.84185028076172,149.34368896484375
98.15669250488281,153.36976623535156
99.4157485961914,157.17662048339844
103.33060455322266,160.91371154785156
103.55683898925781,163.28550720214844
102.78959655761719,161.8604278564453
103.36994171142578,161.5016632080078
103.38961791992188,160.335693359375
104.07815551757812,162.22914123535156
106.54707336425781,165.23875427246094
106.60609436035156,165.47792053222656
105.51426696777344,164.63084411621094
108.06187438964844,152.27359008789062
110.54061889648438,155.21340942382812
110.70783996582031,153.84812927246094
117.45555877685547,159.03021240234375
119.50151824951172,160.335693359375
119.48184967041016,166.23529052734375
118.28181457519531,164.8301544189453
119.15912628173828,166.85317993164062
118.14152526855469,167.29164123535156
116.57064819335938,164.75045776367188
114.7527847290039,169.47410583496094
115.93833923339844,171.3874969482422
116.81764221191406,169.0057373046875
119.51480102539062,173.38059997558594
118.29959106445312,172.78268432617188
118.47743225097656,172.3641357421875
117.94392395019531,172.25450134277344
117.43017578125,169.78302001953125
118.9417724609375,167.13223266601562
120.14710235595703,168.80641174316406
121.02639770507812,169.22496032714844
122.02424621582031,174.31735229492188
124.08910369873047,177.23081970214844
125.4129867553711,179.60545349121094
124.96839904785156,178.38818359375
125.19563293457031,176.57228088378906
124.02982330322266,175.4847412109375
127.13203430175781,177.5401153564453
125.83780670166016,176.83169555664062
127.1123046875,173.58900451660156
126.78627014160156,167.35304260253906
127.853271484375,165.6369171142578
129.15737915039062,167.363037109375
127.8829116821289,171.1046142578125
131.13331604003906,174.03797912597656
131.5680389404297,177.86936950683594
131.7261199951172,176.99134826660156
133.8798828125,176.51243591308594
136.1324462890625,179.3560028076172
138.07876586914062,180.1442413330078
136.735107421875,177.1609649658203
137.06114196777344,174.766357421875
138.1182861328125,177.2607421875
138.97781372070312,178.2983856201172
138.41468811035156,180.9025421142578
138.21707153320312,182.399169921875
138.00961303710938,182.6885223388672
138.6122589111328,183.3570098876953
142.653076171875,184.284912109375
142.4949951171875,185.52212524414062
141.1908721923828,190.7204132080078
142.60366821289062,191.6782684326172
145.11312866210938,191.07960510253906
145.05384826660156,192.76580810546875
147.8300323486328,193.6438446044922
147.68182373046875,192.9853057861328
145.8343505859375,195.98854064941406
144.302978515625,196.9962921142578
143.75958251953125,192.42657470703125
140.074462890625,189.52310180664062
140.90435791015625,195.31008911132812
138.87901306152344,194.8810577392578
132.31887817382812,196.4774627685547
131.2321319580078,196.83665466308594
131.14321899414062,201.6358184814453
130.37261962890625,201.17686462402344
131.35067749023438,203.70118713378906
133.3760223388672,202.57371520996094
132.75360107421875,203.36195373535156
130.67861938476562,204.44949340820312
130.7579803466797,203.83090209960938
130.51991271972656,202.03494262695312
129.8256072998047,199.74009704589844
129.0321044921875,200.16912841796875
132.68218994140625,206.2554473876953
131.30349731445312,208.68995666503906
132.26560974121094,207.482666015625
132.3647918701172,207.74208068847656
133.45584106445312,211.89273071289062
130.92657470703125,213.05010986328125
130.31163024902344,211.51358032226562
128.44691467285156,230.58065795898438
132.01763916015625,232.13714599609375
131.4721221923828,234.64149475097656
131.65065002441406,233.84259033203125
130.97618103027344,239.61474609375
132.5830078125,239.23526000976562
136.35211181640625,240.45361328125
134.0013885498047,241.0528106689453
134.55682373046875,251.41873168945312
127.98072814941406,251.0791778564453
129.93472290039062,249.51132202148438
130.8373260498047,251.98794555664062
131.26380920410156,254.89401245117188
131.75975036621094,252.53721618652344
130.39097595214844,251.99794006347656
130.84722900390625,247.4940643310547
129.0519561767578,246.2357635498047
127.55423736572266,246.8449249267578
128.19894409179688,244.0287628173828
130.11325073242188,243.2198486328125
130.1231689453125,245.2071533203125
131.96804809570312,246.095947265625
133.6641387939453,246.1159210205078
133.67405700683594,251.16905212402344
130.4207305908203,246.7949981689453
131.8589324951172,245.1272735595703
130.4604034423828,241.88168334960938
124.98529815673828,237.16807556152344
127.13764190673828,244.30838012695312
128.7147216796875,245.85629272460938
129.2106475830078,251.36880493164062
127.84187316894531,251.53857421875
128.22869873046875,253.4459686279297
129.29000854492188,256.6716003417969
131.09519958496094,250.99929809570312
129.0519561767578,252.18768310546875
132.10690307617188,253.3860626220703
131.60104370117188,260.1568603515625
133.36659240722656,269.5640869140625
133.4261016845703,268.0661315917969
135.32054138183594,274.7969970703125
135.7073974609375,281.5178527832031
138.43502807617188,281.43798828125
138.8912811279297,283.73486328125
136.61990356445312,277.6830749511719
131.3729248046875,284.364013671875
130.4207305908203,284.9532165527344
128.43699645996094,279.32086181640625
128.9329376220703,290.19610595703125
128.47666931152344,291.3445129394531
131.36300659179688,287.04034423828125
127.4153823852539,278.74163818359375
127.09161376953125,276.60455322265625
126.44409942626953,285.2128601074219
126.26478576660156,284.5736999511719
127.67935180664062,292.59283447265625
123.24639129638672,289.5869445800781
127.72916412353516,299.2438049316406
128.12762451171875,318.0382995605469
130.39889526367188,323.2012939453125
130.93682861328125,319.8458557128906
132.86941528320312,319.68603515625
131.43492126464844,314.6928405761719
131.33529663085938,315.59161376953125
134.37362670898438,320.1853942871094
136.11692810058594,317.9584045410156
136.8640594482422,321.65338134765625
135.40963745117188,314.2286376953125
134.7322540283203,317.52630615234375
136.48550415039062,320.7740173339844
139.0357208251953,313.4791564941406
136.11692810058594,310.3013916015625
136.7345428466797,309.10223388671875
133.57669067382812,307.51336669921875
131.1360626220703,297.85015869140625
131.09622192382812,303.5361633300781
132.47093200683594,308.3927307128906
134.47325134277344,311.1108093261719
134.97132873535156,315.457763671875
135.77822875976562,315.4477844238281
135.19049072265625,314.7382507324219
134.70236206054688,314.168701171875
134.7720947265625,314.32855224609375
132.21192932128906,313.5790710449219
135.30007934570312,315.0980224609375
142.30316162109375,317.09661865234375
145.0625457763672,314.32855224609375
141.6058349609375,322.2030029296875
143.29933166503906,325.7804870605469
143.64797973632812,328.9082946777344
144.8035430908203,332.4957580566406
145.78976440429688,336.1931457519531
147.58285522460938,336.0732421875
147.453369140625,332.92547607421875
148.8878631591797,330.1074523925781
144.66407775878906,321.9331970214844
148.9974365234375,328.1488342285156
149.68478393554688,330.6070861816406
147.11465454101562,328.19879150390625
148.55911254882812,333.35516357421875
147.10470581054688,334.76416015625
147.85183715820312,336.04327392578125
150.14303588867188,338.4216003417969
146.39743041992188,338.29168701171875
148.06103515625,344.6571960449219
151.5177459716797,340.4601745605469
156.7177734375,333.1053161621094
150.3621826171875,331.09674072265625
156.7775421142578,322.87255859375
159.3974609375,324.171630859375
161.07102966308594,318.40570068359375
154.07791137695312,311.1108093261719
144.4250030517578,309.1521911621094
148.1300048828125,305.8045654296875
148.85000610351562,302.6068115234375
151.13999938964844,303.7260437011719
151.3000030517578,303.3462829589844
148.6199951171875,314.6783142089844
145.50999450683594,311.4705810546875
150.8800048828125,310.7011413574219
148.44000244140625,312.80963134765625
152.72000122070312,306.93377685546875
150.75,311.21075439453125
152.0800018310547,306.1443176269531
146.57000732421875,303.3462829589844
145.2100067138672,303.23638916015625
142.22000122070312,300.6981506347656
138.36000061035156,298.0899963378906
141.1199951171875,306.010009765625
140.10000610351562,306.92999267578125
139.57000732421875,308.4200134277344
132.17999267578125,303.2099914550781
132.24000549316406,301.4599914550781
133.08999633789062,304.4200134277344
132.49000549316406,309.4100036621094
129.8800048828125,306.29998779296875
129.89999389648438,305.7300109863281
128.14999389648438,298.7900085449219
129.8300018310547,299.0199890136719
130.14999389648438,289.20001220703125
